ticker,index,predicted_return,direction,direction_probability,last_close,limit_sell,timestamp
BIIB,NASDAQ,0.03,up,66.5,149.61,152.6,2025-10-30T16:13:47.339140
AXON,NASDAQ,0.03,up,62.5,738.88,752.44,2025-10-30T16:13:47.339159
